region,net_trans,child_gender
Central China,1433.57,1.0
East China,1290.65,1.0
North China,1360.87,1.0
Northeast China,1563.12,1.0
Northwest China,970.4,1.0
South China,1311.41,1.0
Southwest China,1127.54,1.0
