region,net_trans,child_gender
Central China,3031.95,0.0
East China,2951.08,0.0
North China,2652.44,0.0
Northeast China,2283.94,0.0
Northwest China,3002.19,0.0
South China,3115.2,0.0
Southwest China,2435.12,0.0
