region,net_trans,child_gender
Central China,1959.33,1.0
East China,1978.01,1.0
North China,2020.78,1.0
Northeast China,2280.79,1.0
Northwest China,1702.65,1.0
South China,1891.03,1.0
Southwest China,1536.18,1.0
