region,net_trans,child_gender
Central China,1017.63,0.0
East China,982.09,0.0
North China,834.58,0.0
Northeast China,1005.54,0.0
Northwest China,838.39,0.0
South China,969.17,0.0
Southwest China,925.24,0.0
